============================== SRIM-2003.24 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1000000.E-07 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E-02 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000615   3.0662E+01 -8.3072E+00 -1.4863E+01
0000617   1.8718E+01  4.0969E+00 -2.4103E+00
0000619   7.4204E+00  4.6130E+00  1.0715E+01
0000621   1.4477E+01  1.3142E+01  1.5681E+01
0000622   4.4545E+00 -4.4893E+00  9.0874E+00
0000623   1.0983E+01  1.0825E+01  1.1415E+01
0000624   6.0553E+00 -7.4591E+00 -2.3172E+01
0000625   2.3865E+01 -1.8194E+00  6.0781E-01
0000626   1.1794E+01 -1.3120E+01 -5.3025E+00
0000627   2.0052E+01 -4.5520E+00 -1.1382E+01
0000628   1.6301E+01 -3.7623E-01  1.2777E+00
0000630   1.7711E+01 -1.6610E+01  3.3241E+01
0000631   1.3747E+01 -2.4148E+01 -7.6129E+00
0000632   2.0594E+01 -7.0843E-01 -1.3967E+01
0000634   1.3293E+01 -2.6510E+01  2.7512E+01
0000640   1.4391E+01  8.5748E+00 -7.9930E+00
0000642   1.4661E+00  4.9724E-01  8.1297E+00
0000644   6.1860E+00 -2.0796E+00  6.4413E+00
0000647   1.1353E+01  4.7436E-01 -1.4611E+01
0000650   1.4229E+01 -1.6442E+01  7.0536E-01
0000651   2.3888E+01 -1.2142E+01 -9.9233E+00
0000652   1.5943E+01 -1.2128E+00 -2.0258E+01
0000653   4.4099E+01  3.5694E-01 -6.5926E+00
0000654   1.2052E+01  7.9666E-01 -9.2273E+00
0000655   3.2425E+01 -1.1346E+00  1.5991E+01
0000656   1.4615E+01 -9.0207E+00  1.7247E+01
0000658   1.1790E+01 -1.8965E+01 -1.0395E+01
0000662   1.3586E+01 -1.2096E+01 -1.0427E+00
0000664   1.0361E+01 -3.1549E+00  2.5463E+00
0000665   1.7760E+01 -8.4787E-01 -2.0320E+01
0000667   1.0827E+01  3.0551E-01  9.2649E+00
0000668   2.8497E+01  5.2726E+00  8.2070E+00
0000669   1.3668E+01  8.8543E+00  5.4991E+00
0000670   1.7985E+01 -1.2976E+01 -1.0047E+01
0000671   2.1067E+01  2.4016E+01 -5.3447E-01
0000674   1.4855E+01 -7.1635E+00 -1.2021E+01
0000676   7.2810E+00  6.4975E+00  1.8061E+00
0000677   1.1644E+01 -1.1169E+01 -3.8510E+00
0000678   8.6989E+00  8.0681E+00  1.5850E+01
0000679   3.6736E+01  3.5276E+00 -2.6401E+01
0000680   2.0241E+01 -5.8743E+00  2.3327E+01
0000681   1.5293E+01  1.3364E+01 -2.0022E+01
0000682   1.9577E+01 -1.3231E+01 -1.8564E+01
0000685   1.4413E+01 -1.0474E+01 -2.5315E+00
0000688   1.2370E+01 -3.8105E-01 -2.2078E+00
0000689   9.8981E+00  1.2269E+01  1.1447E+01
0000690   2.6100E+01 -5.6189E+00 -1.2103E+01
0000691   4.0656E+00 -6.4261E+00  1.8914E+00
0000692   8.3165E+00 -1.3027E+01 -2.1687E+01
0000693   5.4567E+00 -5.9156E+00 -8.9682E+00
0000694   1.0287E+01  2.3558E+01 -3.8778E+01
0000696   4.8964E+01  1.5471E+00 -1.2832E+01
0000697   1.7563E+01  7.7588E+00 -7.8974E+00
0000699   9.3270E+00 -5.4475E+00  1.8029E+01
0000701   2.1057E+01 -1.0847E+01  9.5717E+00
0000702   5.9532E+00 -1.4310E+00 -1.1509E+01
0000704   3.1889E+00 -1.7138E+01 -8.7620E+00
0000707   2.5020E+00  3.4410E+01 -9.5642E+00
0000708   2.1044E+01  9.4811E+00  1.1254E+01
0000711   1.0196E+01 -1.5441E+01 -2.6515E+01
0000712   3.7923E+00  7.8600E+00  2.5759E+00
0000713   1.2433E+01  4.1940E-01  1.2049E+01
0000716   4.4366E+01 -2.5058E-01 -1.5487E+01
0000718   3.5187E+01 -1.8976E+01 -7.3851E+00
0000719   7.2128E+00 -6.1786E+00  5.5338E+00
0000722   6.7102E+00 -2.4332E+00 -2.4516E+01
0000724   7.8636E+00 -1.0613E+01  1.1022E+01
0000725   1.4384E+01 -2.5236E+00  2.7447E+01
